cost,rmse,penalty,C,G,M,Y
0.054768,0.054768,0.000000,0.509624,29.146076,32.993346,1.631378
0.054768,0.054768,0.000000,0.509624,29.146076,32.993346,1.631378
0.054768,0.054768,0.000000,0.509624,29.146076,32.993346,1.631378
0.054768,0.054768,0.000000,0.509624,29.146076,32.993346,1.631378
0.054768,0.054768,0.000000,0.509624,29.146076,32.993346,1.631378
0.054694,0.054694,0.000000,0.511684,29.152362,32.999473,1.631784
0.054694,0.054694,0.000000,0.511684,29.152362,32.999473,1.631784
0.054694,0.054694,0.000000,0.511684,29.152362,32.999473,1.631784
0.054694,0.054694,0.000000,0.511684,29.152362,32.999473,1.631784
0.054694,0.054694,0.000000,0.511684,29.152362,32.999473,1.631784
0.054635,0.054635,0.000000,0.474529,29.323355,33.193331,1.643849
0.054635,0.054635,0.000000,0.474529,29.323355,33.193331,1.643849
0.054635,0.054635,0.000000,0.474529,29.323355,33.193331,1.643849
0.054635,0.054635,0.000000,0.474529,29.323355,33.193331,1.643849
0.054635,0.054635,0.000000,0.474529,29.323355,33.193331,1.643849
0.056686,0.056686,0.000000,0.354637,29.887583,33.832199,1.683608
0.054620,0.054620,0.000000,0.462540,29.379778,33.257218,1.647825
0.054620,0.054620,0.000000,0.462540,29.379778,33.257218,1.647825
0.054620,0.054620,0.000000,0.462540,29.379778,33.257218,1.647825
0.054620,0.054620,0.000000,0.462540,29.379778,33.257218,1.647825
0.054620,0.054620,0.000000,0.462540,29.379778,33.257218,1.647825
0.054603,0.054603,0.000000,0.417496,29.601282,33.507409,1.663383
0.054603,0.054603,0.000000,0.417496,29.601282,33.507409,1.663383
0.054603,0.054603,0.000000,0.417496,29.601282,33.507409,1.663383
0.054603,0.054603,0.000000,0.417496,29.601282,33.507409,1.663383
0.054603,0.054603,0.000000,0.417496,29.601282,33.507409,1.663383
0.054552,0.054552,0.000000,0.430462,29.546677,33.445156,1.659490
0.054552,0.054552,0.000000,0.430462,29.546677,33.445156,1.659490
0.054552,0.054552,0.000000,0.430462,29.546677,33.445156,1.659490
0.054552,0.054552,0.000000,0.430462,29.546677,33.445156,1.659490
0.054552,0.054552,0.000000,0.430462,29.546677,33.445156,1.659490
0.054518,0.054518,0.000000,0.412710,29.642298,33.552631,1.666146
0.054518,0.054518,0.000000,0.412710,29.642298,33.552631,1.666146
0.054518,0.054518,0.000000,0.412710,29.642298,33.552631,1.666146
0.054518,0.054518,0.000000,0.412710,29.642298,33.552631,1.666146
0.054518,0.054518,0.000000,0.412710,29.642298,33.552631,1.666146
0.055102,0.055102,0.000000,0.328535,30.092354,34.058664,1.697484
0.054503,0.054503,0.000000,0.404084,29.688416,33.604485,1.669357
0.054503,0.054503,0.000000,0.404084,29.688416,33.604485,1.669357
0.054503,0.054503,0.000000,0.404084,29.688416,33.604485,1.669357
0.054503,0.054503,0.000000,0.404084,29.688416,33.604485,1.669357
0.054503,0.054503,0.000000,0.404084,29.688416,33.604485,1.669357
0.057554,0.057554,0.000000,0.284829,30.338851,34.335066,1.714553
0.054484,0.054484,0.000000,0.392159,29.753460,33.677543,1.673877
0.054484,0.054484,0.000000,0.392159,29.753460,33.677543,1.673877
0.054484,0.054484,0.000000,0.392159,29.753460,33.677543,1.673877
0.054484,0.054484,0.000000,0.392159,29.753460,33.677543,1.673877
0.054484,0.054484,0.000000,0.392159,29.753460,33.677543,1.673877
0.054702,0.054702,0.000000,0.329017,30.105842,34.072867,1.698297
0.054468,0.054468,0.000000,0.381697,29.811844,33.743042,1.677923
0.054468,0.054468,0.000000,0.381697,29.811844,33.743042,1.677923
0.054468,0.054468,0.000000,0.381697,29.811844,33.743042,1.677923
0.054468,0.054468,0.000000,0.381697,29.811844,33.743042,1.677923
0.054468,0.054468,0.000000,0.381697,29.811844,33.743042,1.677923
0.054472,0.054472,0.000000,0.341016,30.045714,34.005019,1.694070
0.054443,0.054443,0.000000,0.362562,29.921850,33.866269,1.685518
0.054443,0.054443,0.000000,0.362562,29.921850,33.866269,1.685518
0.054443,0.054443,0.000000,0.362562,29.921850,33.866269,1.685518
0.054443,0.054443,0.000000,0.362562,29.921850,33.866269,1.685518
0.054443,0.054443,0.000000,0.362562,29.921850,33.866269,1.685518
0.054410,0.054410,0.000000,0.344742,30.031645,33.988838,1.693030
0.054410,0.054410,0.000000,0.344742,30.031645,33.988838,1.693030
0.054410,0.054410,0.000000,0.344742,30.031645,33.988838,1.693030
0.054410,0.054410,0.000000,0.344742,30.031645,33.988838,1.693030
0.054410,0.054410,0.000000,0.344742,30.031645,33.988838,1.693030
0.054344,0.054344,0.000000,0.323694,30.176241,34.149450,1.702784
0.054344,0.054344,0.000000,0.323694,30.176241,34.149450,1.702784
0.054344,0.054344,0.000000,0.323694,30.176241,34.149450,1.702784
0.054344,0.054344,0.000000,0.323694,30.176241,34.149450,1.702784
0.054344,0.054344,0.000000,0.323694,30.176241,34.149450,1.702784
0.055189,0.055189,0.000000,0.256429,30.609113,34.631664,1.732207
0.054332,0.054332,0.000000,0.316967,30.219528,34.197671,1.705726
0.054332,0.054332,0.000000,0.316967,30.219528,34.197671,1.705726
0.054332,0.054332,0.000000,0.316967,30.219528,34.197671,1.705726
0.054332,0.054332,0.000000,0.316967,30.219528,34.197671,1.705726
0.054332,0.054332,0.000000,0.316967,30.219528,34.197671,1.705726
0.055015,0.055015,0.000000,0.251774,30.652269,34.679053,1.735011
0.054321,0.054321,0.000000,0.310448,30.262802,34.245809,1.708655
0.054321,0.054321,0.000000,0.310448,30.262802,34.245809,1.708655
0.054321,0.054321,0.000000,0.310448,30.262802,34.245809,1.708655
0.054321,0.054321,0.000000,0.310448,30.262802,34.245809,1.708655
0.054321,0.054321,0.000000,0.310448,30.262802,34.245809,1.708655
0.054444,0.054444,0.000000,0.265847,30.565614,34.582296,1.729076
0.054307,0.054307,0.000000,0.301477,30.323708,34.313489,1.712762
0.054307,0.054307,0.000000,0.301477,30.323708,34.313489,1.712762
0.054307,0.054307,0.000000,0.301477,30.323708,34.313489,1.712762
0.054307,0.054307,0.000000,0.301477,30.323708,34.313489,1.712762
0.054307,0.054307,0.000000,0.301477,30.323708,34.313489,1.712762
0.054305,0.054305,0.000000,0.273837,30.516855,34.527828,1.725727
0.054289,0.054289,0.000000,0.287126,30.423996,34.424781,1.719494
0.054289,0.054289,0.000000,0.287126,30.423996,34.424781,1.719494
0.054289,0.054289,0.000000,0.287126,30.423996,34.424781,1.719494
0.054289,0.054289,0.000000,0.287126,30.423996,34.424781,1.719494
0.054289,0.054289,0.000000,0.287126,30.423996,34.424781,1.719494
0.054263,0.054263,0.000000,0.276065,30.507404,34.517026,1.725022
0.054263,0.054263,0.000000,0.276065,30.507404,34.517026,1.725022
0.054263,0.054263,0.000000,0.276065,30.507404,34.517026,1.725022
0.054263,0.054263,0.000000,0.276065,30.507404,34.517026,1.725022
0.054263,0.054263,0.000000,0.276065,30.507404,34.517026,1.725022
0.054210,0.054210,0.000000,0.259855,30.642296,34.665601,1.733819
0.054210,0.054210,0.000000,0.259855,30.642296,34.665601,1.733819
0.054210,0.054210,0.000000,0.259855,30.642296,34.665601,1.733819
0.054210,0.054210,0.000000,0.259855,30.642296,34.665601,1.733819
0.054210,0.054210,0.000000,0.259855,30.642296,34.665601,1.733819
0.055476,0.055476,0.000000,0.199018,31.115171,35.187884,1.764979
0.054197,0.054197,0.000000,0.253772,30.689584,34.717829,1.736935
0.054197,0.054197,0.000000,0.253772,30.689584,34.717829,1.736935
0.054197,0.054197,0.000000,0.253772,30.689584,34.717829,1.736935
0.054197,0.054197,0.000000,0.253772,30.689584,34.717829,1.736935
0.054197,0.054197,0.000000,0.253772,30.689584,34.717829,1.736935
0.055256,0.055256,0.000000,0.196230,31.148973,35.224630,1.767067
0.054187,0.054187,0.000000,0.248017,30.735523,34.768509,1.739948
